,0,1
0,67,6
1,102,6
2,67,77
3,102,77
4,67,146
5,102,146
6,67,216
7,102,216
8,67,285
9,102,285
10,102,42
11,67,42
12,102,111
13,67,111
14,102,181
15,67,181
16,102,250
17,67,250
18,102,320
19,67,320
20,137,6
21,172,6
22,137,77
23,172,77
24,137,146
25,172,146
26,137,215
27,172,215
28,137,285
29,172,285
30,171,42
31,136,42
32,171,111
33,136,111
34,171,181
35,136,181
36,171,250
37,136,250
38,171,320
39,136,320
40,206,6
41,241,6
42,206,77
43,241,77
44,206,146
45,241,146
46,206,216
47,241,216
48,206,285
49,241,285
50,240,42
51,205,42
52,240,111
53,205,111
54,240,181
55,205,181
56,240,250
57,205,250
58,240,320
59,205,320
60,275,77
61,310,77
62,275,146
63,310,146
64,275,216
65,310,216
66,275,285
67,310,285
68,276,6
69,241,6
70,310,42
71,345,42
72,310,111
73,345,111
74,310,181
75,345,181
76,310,250
77,345,250
78,310,320
79,345,320
80,344,77
81,309,77
82,344,285
83,309,285
84,345,6
85,380,6
86,345,146
87,380,146
88,345,215
89,380,215
90,379,42
91,344,42
92,379,111
93,344,111
94,379,181
95,344,181
96,379,251
97,344,251
98,379,320
99,344,320
